panel,warming_level,region_index,region_abbreviation,region_name,posterior_mean,lower_5th_percentile,upper_95th_percentile,units
a,1.5 degC,0,GIC,Greenland/Iceland,0.20166265944749648,-0.6217708158715992,0.9308309055449431,degC
a,1.5 degC,1,NWN,N.W.North-America,0.2630013335826811,-0.3667586860288912,0.9928227917415736,degC
a,1.5 degC,2,NEN,N.E.North-America,0.2683221821619716,-0.40929633844999136,0.8962279936337928,degC
a,1.5 degC,3,WNA,W.North-America,0.1723092609943534,-0.17334368252799168,0.4874704119479278,degC
a,1.5 degC,4,CNA,C.North-America,0.18440905698555116,-0.19319664878214304,0.5330490256237942,degC
a,1.5 degC,5,ENA,E.North-America,0.17913896194792203,-0.12564383348868505,0.4892460795919018,degC
a,1.5 degC,6,NCA,N.Central-America,0.15702691067677235,-0.09015399877781567,0.38447266405827313,degC
a,1.5 degC,7,SCA,S.Central-America,0.12848061392342577,-0.0728041477159387,0.29527434439682065,degC
a,1.5 degC,8,CAR,Caribbean,0.11531470234392495,-0.03282220246414598,0.3088582599873469,degC
a,1.5 degC,9,NWS,N.W.South-America,0.1319964719348257,-0.15928984095244247,0.40781879718133623,degC
a,1.5 degC,10,NSA,N.South-America,0.16016114089081454,-0.27407583368533434,0.6287500077480748,degC
a,1.5 degC,11,NES,N.E.South-America,0.13710596780809434,-0.14316433770754605,0.3425109732841246,degC
a,1.5 degC,12,SAM,South-American-Monsoon,0.18467609978762847,-0.24799825594994038,0.6184783472241283,degC
a,1.5 degC,13,SWS,S.W.South-America,0.12356794002052376,-0.07601445919147178,0.30650405112490997,degC
a,1.5 degC,14,SES,S.E.South-America,0.1163286875481624,-0.10306539241827212,0.41351687980176943,degC
a,1.5 degC,15,SSA,S.South-America,0.07968941306504179,-0.09820118567600074,0.24511111823699896,degC
a,1.5 degC,16,NEU,N.Europe,0.16258617881295845,-0.375100944834073,0.6824514700288675,degC
a,1.5 degC,17,WCE,West&Central-Europe,0.2212241036979018,-0.1655331824175512,0.6333437824027742,degC
a,1.5 degC,18,EEU,E.Europe,0.2491980233926683,-0.28856147459824216,0.7344660180206323,degC
a,1.5 degC,19,MED,Mediterranean,0.17416857578085276,-0.09660168781368363,0.4249161901952139,degC
a,1.5 degC,20,SAH,Sahara,0.18790621412866357,-0.0890217069628922,0.5180022021737624,degC
a,1.5 degC,21,WAF,Western-Africa,0.1531300749007796,-0.11750232780732116,0.4192955586860293,degC
a,1.5 degC,22,CAF,Central-Africa,0.13041259674440878,-0.2867735076637054,0.43135607447351404,degC
